"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 09 16:20:19 EET 2021","Tue Feb 09 16:20:27 EET 2021","8100","test","test_edit_group","","","","test_edit_some_group",""
"passed","Tue Feb 09 14:22:15 EET 2021","Tue Feb 09 14:22:19 EET 2021","3420","test","test_add_group","","","","test_add_group[None:name6wL :( s:header#u+y`:footer[|pIS{A?}3>U  Q)]",""
"passed","Tue Feb 09 16:22:02 EET 2021","Tue Feb 09 16:22:07 EET 2021","5120","test","test_add_contact","","","","test_add_contact[None:firstname-!VRG #asKt:lastname=%^ %mC)q|:middlenametKa:1@1.y8L|/]:7]",""
"failed","Tue Feb 09 16:22:08 EET 2021","Tue Feb 09 16:22:13 EET 2021","4989","test","test_add_contact","","","","test_add_contact[None:firstnamem6I0s*:lastnameVk:middlenamec\Kf\n Y<4mEX :1@1.ySw:m?}:7&$98]",""
"passed","Tue Feb 09 14:22:12 EET 2021","Tue Feb 09 14:22:15 EET 2021","3409","test","test_add_group","","","","test_add_group[None:nameNra5B:header }gkACxD:footerMdcJn(]",""
"passed","Tue Feb 09 14:21:58 EET 2021","Tue Feb 09 14:22:02 EET 2021","3458","test","test_add_group","","","","test_add_group[None:nameb5j#!Wk 0:header,S+vo FY[yUt:footerMQ*\ w=3 ifHN,=!N]",""
"passed","Tue Feb 09 14:22:22 EET 2021","Tue Feb 09 14:22:26 EET 2021","3421","test","test_add_group","","","","test_add_group[None:name@ ]_>e9 4:header oH5R$LY s):footer~,_v+P }Jj]",""
"failed","Tue Feb 09 16:22:07 EET 2021","Tue Feb 09 16:22:08 EET 2021","1400","test","test_add_contact","","","","test_add_contact[None:firstnamewEPM=Y}V:lastnameFd:middlename:1@1.,R:7@t]",""
"passed","Tue Feb 09 14:21:55 EET 2021","Tue Feb 09 14:21:58 EET 2021","3534","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Tue Feb 09 16:22:22 EET 2021","Tue Feb 09 16:22:28 EET 2021","5210","test","test_add_contact","test_add_contact[None:firstnamen;","","","test_add_contact[None:firstnamen;::lastname:middlename cm a2ja:1@1.n:7%N]",""
"passed","Tue Feb 09 16:23:17 EET 2021","Tue Feb 09 16:23:27 EET 2021","10343","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Tue Feb 09 14:45:16 EET 2021","Tue Feb 09 14:45:16 EET 2021","310","test","test_del_group","","","","test_delete_some_group",""
"passed","Tue Feb 09 14:22:26 EET 2021","Tue Feb 09 14:22:29 EET 2021","3419","test","test_add_group","","","","test_add_group[None:nameoX(eFTYU:header:footer]",""
"failed","Tue Feb 09 14:22:29 EET 2021","Tue Feb 09 14:22:33 EET 2021","3434","test","test_add_group","","","","test_add_group[None:name3 3UZE:header':footer 6$HY 9 LkudEQzf7E]",""
"passed","Tue Feb 09 16:21:53 EET 2021","Tue Feb 09 16:22:01 EET 2021","8871","test","test_add_contact","","","","test_add_contact[None::::None:]",""
"passed","Tue Feb 09 16:22:13 EET 2021","Tue Feb 09 16:22:22 EET 2021","8922","test","test_add_contact","","","","test_add_contact[None:firstname`KA"":lastname:middlename)u(t DB:1@1.KmG@ s4:7ZH =[]",""
"passed","Tue Feb 09 14:22:19 EET 2021","Tue Feb 09 14:22:22 EET 2021","3432","test","test_add_group","","","","test_add_group[None:nameG]6}rZ fP:header!nP]cy:footerAoba`n_]",""
"passed","Tue Feb 09 16:22:47 EET 2021","Tue Feb 09 16:22:58 EET 2021","10869","test","test_edit_contact","","","","test_edit_some_contact",""
"failed","Tue Feb 09 14:22:08 EET 2021","Tue Feb 09 14:22:12 EET 2021","3408","test","test_add_group","","","","test_add_group[None:name':header:footerI#X]",""
"passed","Tue Feb 09 14:22:02 EET 2021","Tue Feb 09 14:22:05 EET 2021","3427","test","test_add_group","","","","test_add_group[None:name,m&*:headerz9j7k@:footer(Db]",""
"passed","Tue Feb 09 14:22:05 EET 2021","Tue Feb 09 14:22:08 EET 2021","3419","test","test_add_group","","","","test_add_group[None:namez)A:headerPxN xT@C[ jnq:footer*~, 1h1!OYiuCN]",""
